merchantName,description,category
payroll,bonus entreprise avril,SALAIRE
مواصلات,trajet tunis marsa 8458,TRANSPORT
تكسي,ticket louage marsa,TRANSPORT
apartment owner,paiement loyer mai,LOGEMENT
marche central,paiement paniers cuisine 1420,ALIMENTATION
Boucherie Slim,paiement courses ariana,ALIMENTATION
electric company,paiement facture internet mai 6142,FACTURES
cinema,paiement achat console game famille 2089,LOISIRS
waterservice,paiement facture fiber 8455,FACTURES
clinique el amen,bilan de sante lac,SANTE
makloub center,repas diner sousse,RESTAURANT
fast food,makloub chawarma centre ville mastercard,RESTAURANT
amazon,paiement buying accessories,SHOPPING
Universite,frais universite semestre 1,EDUCATION
hamma hajem,paiement en ligne achat lac,SHOPPING
game pass,music abonnement mars 3234,LOISIRS
hammahajem,paiement achat personnel marsa 524,SHOPPING
خدمة,paiement inconnu operation ref001,AUTRE
مكتبة,en ligne course semestre 2,EDUCATION
salaire,versement employeur 2026,SALAIRE
CABINET MEDICAL,medical appointment lac 938,SANTE
أوريدو,water facture avril,FACTURES
laboratoire,achat medicament sfax 9768,SANTE
Hamma Hajem,achat sport centre ville,SHOPPING
payroll,paiement virement salaire janvier,SALAIRE
zara,paiement achat vetements 8352,SHOPPING
sport club fun,fun activity mensuel,LOISIRS
metro,paiement transport ariana 880 en ligne,TRANSPORT
salary,paiement revenu mensuel mars 7244,SALAIRE
loyer,charges immeuble mai 8533,LOGEMENT
CAMPUS SERVICE,paiement cours 7313,EDUCATION
DIVERS,operation non connue tunis 8030,AUTRE
مكتبة,achat livres 2026,EDUCATION
جامعة,paiement frais universite 2026 9447,EDUCATION
amazon,personal care achat ariana mastercard,SHOPPING
unknown service,transaction non classee ref001,AUTRE
transport public,ticket louage tunis,TRANSPORT
zara,hjema marsa,SHOPPING
fresh market,paiement courses tunis,ALIMENTATION
disney plus,entertainment paiement mensuel 6227,LOISIRS
مواصلات,transport a tunis sousse 3005,TRANSPORT
Payroll,virement salaire avril,SALAIRE
School Fees,paiement university paiement semestre 1 823 carte bancaire,EDUCATION
plan epargne,paiement epargne versement fevrier 8772,EPARGNE
كراء,loyer mensuel mars,LOGEMENT
ادخار,paiement mensuel epargne janvier 1141,EPARGNE
residence lac,charges immeuble mai,LOGEMENT
service inconnu,paiement inconnu ref778 1303,AUTRE
onlineshop,buying accessories ariana,SHOPPING
سوق,paniers cuisine ariana 3961,ALIMENTATION
fast food,commande repas manar,RESTAURANT
formationcenter,paiement formation data science semestre 2,EDUCATION
mg,grocery achat lac mastercard,ALIMENTATION
foody,diner weekend,RESTAURANT
rent apartment,apartment location aout,LOGEMENT
hr payment,virement salaire janvier 3916,SALAIRE
تعليم,frais universite semestre 1,EDUCATION
shoppingcenter,coupe cheveux centre ville 2866,SHOPPING
parfumerie,paiement en ligne achat lac 7585,SHOPPING
epicerie nour,boucherie alimentation nabeul,ALIMENTATION
لواج,transport ville marsa virement,TRANSPORT
OOREDOO,wifi abonnement tunis,FACTURES
pizza hut,paiement restaurant paiement centre ville,RESTAURANT
immo service,frais logement juillet carte bancaire,LOGEMENT
اتصالات تونس,paiement facture mobile mars 4245 mastercard,FACTURES
water service,recharge internet avril,FACTURES
cliniqueelamen,paiement bilan medical ariana,SANTE
LOYER,paiement loyer mensuel mars,LOGEMENT
rentapartment,residence frais avril virement,LOGEMENT
company payroll,prime de performance mars,SALAIRE
gaming store,paiement jeu video avril virement,LOISIRS
gaming store,gaming achat famille 5800,LOISIRS
steam,achat console game mars,LOISIRS
Marche Central,paiement nourriture groceries sousse,ALIMENTATION
netflix,paiement entertainment paiement famille en ligne,LOISIRS
cafe express,pizza commande sousse,RESTAURANT
coiffeur homme,achat vetements tunis,SHOPPING
grillhouse,paiement lunch meal centre ville,RESTAURANT
syndic,paiement location paiement avril 3047,LOGEMENT
clinique,paiement achat medicament en ligne,SANTE
mobile operator,water facture mai,FACTURES
ESPRIT,paiement formation data science 2026,EDUCATION
Placement,mensuel epargne avril,EPARGNE
apartmentowner,paiement loyer mensuel mars,LOGEMENT
souk,paiement achats menageres nabeul,ALIMENTATION
yum yum,pizza commande tunis 559,RESTAURANT
para pharmacie,doctor visit lac,SANTE
مطعم المزة,achat repas tunis mastercard,RESTAURANT
apartment owner,paiement frais logement juin,LOGEMENT
property service,paiement syndic building frais,LOGEMENT
PARFUMERIE,paiement coupe cheveux tunis,SHOPPING
spotify,abonnement netflix avril,LOISIRS
rapid transport,paiement station travel bizerte 8443,TRANSPORT
MONTHLY PAYROLL,virement salaire 3797,SALAIRE
pizza hut,paiement diner weekend lac,RESTAURANT
salon beaute,achat personnel tunis,SHOPPING
DISNEY PLUS,music abonnement avril,LOISIRS
طبيب,bilan medical tunis,SANTE
عملية,divers service ref001,AUTRE
epicerie el amen,nourriture groceries manouba 3464,ALIMENTATION
autre transaction,operation diverse ref001,AUTRE
radiologie,achat medicaments lac,SANTE
epicerie nour,mouneh maison lac 7901,ALIMENTATION
salon beaute,paiement soin capillaire en ligne mastercard,SHOPPING
residenceennasr,paiement loyer juin,LOGEMENT
laboratoire,achat medicaments lac,SANTE
syndic,loyer appartement fevrier,LOGEMENT
ONLINE ACADEMY,achat livres avril 7765,EDUCATION
Unknown Service,paiement service inconnu ref778,AUTRE
Ooredoo,paiement internet paiement mars carte,FACTURES
Monthly Payroll,revenu mensuel mai 3617,SALAIRE
سينما,paiement weekend loisirs avril,LOISIRS
MALL ACHAT,achat personnel,SHOPPING
فاتورة,paiement facture internet avril 1524,FACTURES
sport club fun,entertainment paiement mars,LOISIRS
سنديك,paiement charges immeuble juillet,LOGEMENT
decathlon,paiement coupe cheveux ariana,SHOPPING
ترفيه,paiement music abonnement 6991,LOISIRS
khallas unknown,paiement transaction non classee en ligne 6104 carte,AUTRE
medecin,paiement bilan de sante sfax carte bancaire,SANTE
property service,paiement charges immeuble juillet,LOGEMENT
barber shop,achat vetements,SHOPPING
صيدلية,consultation medicale 9981,SANTE
xyz123,service inconnu ref001,AUTRE
marche central,nourriture groceries manouba,ALIMENTATION
fresh market,supermarket achat tunis,ALIMENTATION
taxi,paiement bus pass sfax en ligne,TRANSPORT
clinique el amen,ordonnance medicaments,SANTE
rapid transport,paiement bus pass lac,TRANSPORT
prime,paiement bonus entreprise mai,SALAIRE
paie,versement employeur fevrier,SALAIRE
xyz123,divers 2026,AUTRE
صيدلية,analyse sanguine manar,SANTE
station metro,paiement transport quotidien sousse 4164,TRANSPORT
Apartment Owner,paiement location paiement juin 1336,LOGEMENT
راتب,paiement prime de performance 2026,SALAIRE
fresh market,paiement mouneh maison tunis,ALIMENTATION
grill house,paiement lunch meal centre ville carte bancaire,RESTAURANT
shawarma time,coffee break visa,RESTAURANT
salon beaute,paiement en ligne achat en ligne,SHOPPING
prime,paiement versement employeur,SALAIRE
company payroll,virement salaire mai,SALAIRE
cinema,paiement weekend loisirs mars,LOISIRS
makloub center,dejeuner,RESTAURANT
metro,ticket louage bizerte,TRANSPORT
parfumerie,paiement haircut men en ligne en ligne,SHOPPING
سنديك,paiement loyer janvier,LOGEMENT
parapharmacie,achat medicament,SANTE
steg,water facture mars,FACTURES
payroll,company payroll fevrier 5343,SALAIRE
magasin general,paiement epicerie quotidienne sfax,ALIMENTATION
parapharmacie,achat medicaments ariana,SANTE
marchecentral,boucherie alimentation gabes,ALIMENTATION
electric company,wifi abonnement juin,FACTURES
Unknown Service,paiement divers tunis,AUTRE
foody,dejeuner la marsa,RESTAURANT
company payroll,paiement virement salaire janvier,SALAIRE
company payroll,mensuel salaire janvier,SALAIRE
bonusentreprise,versement employeur avril virement,SALAIRE
sntri,uber trajet sfax,TRANSPORT
SERVICE TAXI,bus pass marsa,TRANSPORT
SERVICE INCONNU,paiement non classe paiement en ligne 7296,AUTRE
location maison,paiement maison loyer paiement juillet carte,LOGEMENT
barber shop,hjema marsa 9864,SHOPPING
shopping center,haircut men 7645,SHOPPING
PHARMA PLUS,ordonnance medicaments ariana,SANTE
payroll,virement salaire avril 782 mastercard,SALAIRE
راتب,prime de performance avril visa,SALAIRE
ترفيه,abonnement plateforme avril,LOISIRS
prime,virement salaire fevrier 3361,SALAIRE
epargne,placement personnel janvier 4413,EPARGNE
magasin general,achat fruits legumes bizerte,ALIMENTATION
Magasin General,supermarket achat tunis 8487,ALIMENTATION
coursera,achat livres semestre 1 carte,EDUCATION
ترفيه,achat console game weekend,LOISIRS
locationmaison,paiement loyer mensuel mars,LOGEMENT
carrefour,paiement achat produits alimentaires manouba,ALIMENTATION
fresh market,paiement achat produits alimentaires ariana 9449 virement,ALIMENTATION
livret,virement epargne fevrier,EPARGNE
ELECTRIC COMPANY,paiement internet paiement fiber,FACTURES
onlineshop,buying accessories tunis,SHOPPING
location maison,frais logement janvier,LOGEMENT
random pay,transaction non classee tunis,AUTRE
agence immobiliere,loyer appartement mai,LOGEMENT
عيادة,medical appointment sfax,SANTE
game pass,entertainment paiement,LOISIRS
cabinet medical,paiement analyses 7002,SANTE
DECATHLON,paiement haircut men tunis virement,SHOPPING
ACCESSORIES SHOP,en ligne achat ariana,SHOPPING
hm,hjema centre ville 9132,SHOPPING
طبيب,paiement visite medicale lac 9891,SANTE
sntri,paiement trajet downtown sousse 450,TRANSPORT
SONEDE,paiement facture juin,FACTURES
مطعم المزة,coffee break la marsa,RESTAURANT
water service,facture d'electricite mai 1875,FACTURES
prime,paiement bonus entreprise 2026,SALAIRE
syndic,loyer mensuel fevrier 46,LOGEMENT
Universite,formation data science avril 7764 mastercard,EDUCATION
rapid transport,paiement trajet paiement marsa,TRANSPORT
mall achat,en ligne achat tunis,SHOPPING
chapati house,cafe avec amis centre ville carte,RESTAURANT
transportpublic,trajet travail marsa,TRANSPORT
schoolfees,paiement cours,EDUCATION
louage,trajet travail lac,TRANSPORT
عطار,paiement courses manouba,ALIMENTATION
epicerie nour,achats menageres manouba 3132,ALIMENTATION
foody,coffee break manar,RESTAURANT
ooredoo,facture mobile 6544,FACTURES
SERVICE DIVERS,divers ref001 2096,AUTRE
campus service,paiement frais universite 2026,EDUCATION
اتصالات تونس,facture mobile avril 7578,FACTURES
TUNISIE TELECOM,recharge internet 4g,FACTURES
Magasin General,paiement achat produits alimentaires ariana,ALIMENTATION
fast food,paiement diner weekend la marsa 1966,RESTAURANT
taxi,paiement trajet travail ariana,TRANSPORT
company payroll,paie mensuelle 2888,SALAIRE
prime,virement salaire fevrier 8951,SALAIRE
Steg,paiement facture mars,FACTURES
hanout,achat produits alimentaires sousse,ALIMENTATION
barber shop,achat clothes,SHOPPING
epargne,paiement mensuel epargne mars,EPARGNE
rapid transport,uber trajet lac 7274 virement,TRANSPORT
school fees,course abonnement mars,EDUCATION
مواصلات,uber trajet sousse 4634,TRANSPORT
ترفيه,weekend loisirs,LOISIRS
UBER,uber trajet tunis,TRANSPORT
loyer,paiement maison loyer paiement juin 4330 en ligne,LOGEMENT
bershka,paiement buying accessories,SHOPPING
placement,placement personnel fevrier,EPARGNE
kfc,cafe avec amis la marsa carte bancaire,RESTAURANT
salary transfer,paiement virement salaire,SALAIRE
bershka,hjema lac,SHOPPING
bus,paiement ticket metro 4363,TRANSPORT
epicerie el amen,achats menageres bizerte 6190,ALIMENTATION
restaurant el bey,paiement restaurant paiement centre ville,RESTAURANT
taxi,uber trajet tunis,TRANSPORT
investment saving,paiement investment epargne janvier,EPARGNE
placement,paiement virement epargne mai 6264,EPARGNE
zara,en ligne achat tunis 1183,SHOPPING
أوريدو,facture mobile avril 5650 mastercard,FACTURES
orange,facture d'electricite 4g,FACTURES
plan epargne,epargne versement mai 2372,EPARGNE
yum yum,dejeuner lac,RESTAURANT
aziza,epicerie quotidienne gabes,ALIMENTATION
أوريدو,paiement facture mobile,FACTURES
EPARGNE,paiement investment epargne juin,EPARGNE
ooredoo,paiement facture mai,FACTURES
saving account,epargne mensuelle juin,EPARGNE
سنديك,paiement loyer avril,LOGEMENT
khallas unknown,operation non connue,AUTRE
sonede,paiement wifi abonnement avril,FACTURES
investmentsaving,paiement epargne mensuelle mars,EPARGNE
rapid transport,station travel bizerte,TRANSPORT
orange,telecom facture,FACTURES
MONTHLY PAYROLL,prime de performance carte,SALAIRE
مختبر,achat medicaments manar,SANTE
PARA PHARMACIE,paiement soins medicaux ariana,SANTE
epicerie el amen,nourriture groceries nabeul virement,ALIMENTATION
Monthly Payroll,virement salaire avril,SALAIRE
coiffeurhomme,paiement buying accessories ariana mastercard,SHOPPING
hanout,paiement courses sfax,ALIMENTATION
dentiste,paiement consultation medicale tunis,SANTE
Game Pass,paiement fun activity,LOISIRS
مطعم المزة,lunch meal ariana 530,RESTAURANT
SHOPPING CENTER,coupe cheveux en ligne,SHOPPING
orange,internet paiement tunis 4405,FACTURES
Monoprix,nourriture groceries nabeul en ligne,ALIMENTATION
online academy,paiement school tuition semestre 1,EDUCATION
fast food,cafe avec amis la marsa,RESTAURANT
souk,paiement paniers cuisine lac 4353,ALIMENTATION
Cinema,entertainment paiement mars,LOISIRS
playstation,film weekend mensuel,LOISIRS
loyer,paiement syndic building frais mars 1953,LOGEMENT
barber shop,haircut men en ligne 2866 mastercard,SHOPPING
syndic,residence frais juin,LOGEMENT
hospital,pharmacy achat,SANTE
salary,paiement revenu mensuel avril,SALAIRE
hr payment,company payroll janvier,SALAIRE
water service,internet paiement fiber mastercard,FACTURES
pizza hut,pizza commande centre ville,RESTAURANT
pizza hut,commande repas tunis,RESTAURANT
مختبر,soins medicaux ariana,SANTE
unknown service,paiement service inconnu,AUTRE
parfumerie,haircut men tunis 4768,SHOPPING
placement,investment epargne fevrier,EPARGNE
investmentsaving,virement epargne mars 7333,EPARGNE
cinema,paiement gaming achat weekend 2534,LOISIRS
payroll,virement salaire juin,SALAIRE
LOYER,syndic building frais mars,LOGEMENT
grill house,fast nourriture commande tunis 3329,RESTAURANT
unknown merchant,divers service en ligne,AUTRE
universite,education paiement,EDUCATION
virement employeur,virement salaire avril carte,SALAIRE
accessories shop,paiement en ligne achat ariana mastercard,SHOPPING
companypayroll,revenu mensuel fevrier 7746,SALAIRE
ترفيه,paiement achat console game weekend,LOISIRS
GAMING STORE,weekend loisirs famille virement,LOISIRS
salary,paiement virement salaire juin 7284,SALAIRE
cafe ben yedder,cafe avec amis manar,RESTAURANT
immoservice,apartment location juin,LOGEMENT
rapid transport,paiement trajet paiement sousse 1121,TRANSPORT
pull and bear,en ligne achat lac,SHOPPING
CAFE BEN YEDDER,makloub chawarma lac,RESTAURANT
playstation,abonnement netflix avril,LOISIRS
netflix,jeu video avril 9833 virement,LOISIRS
BONUS ENTREPRISE,mensuel salaire mai,SALAIRE
صيدلية,doctor visit 9935,SANTE
فاتورة,recharge internet fiber 8200,FACTURES
librairie,en ligne course mars,EDUCATION
plan epargne,placement personnel avril,EPARGNE
Immo Service,paiement loyer mai,LOGEMENT
compte epargne,placement personnel avril carte,EPARGNE
CAFE EXPRESS,coffee break lac,RESTAURANT
cafebenyedder,paiement cafe avec amis tunis 5270,RESTAURANT
service divers,paiement inconnu ref778,AUTRE
cafe express,paiement diner weekend sousse mastercard,RESTAURANT
monthly payroll,paiement bonus entreprise janvier,SALAIRE
marche central,achat cuisine sfax,ALIMENTATION
game pass,paiement abonnement netflix famille 3444,LOISIRS
SERVICE DIVERS,divers service tunis,AUTRE
MONTHLY PAYROLL,prime de performance janvier,SALAIRE
epargne,investment epargne fevrier 3351 carte bancaire,EPARGNE
rapid transport,uber trajet lac,TRANSPORT
fast food,paiement restaurant paiement ariana 2345,RESTAURANT
taxi,paiement transport a tunis sfax 6794,TRANSPORT
coffee shop,repas diner carte,RESTAURANT
mall achat,haircut men ariana 9857 virement,SHOPPING
medecin,visite medicale ariana,SANTE
divers,paiement transaction non classee en ligne,AUTRE
salary transfer,revenu mensuel juin 5721,SALAIRE
Landlord,loyer mensuel aout,LOGEMENT
wifi bill,paiement facture mai 1374,FACTURES
prime,paiement paie mensuelle juin 3905,SALAIRE
barber shop,buying accessories tunis,SHOPPING
apartment owner,paiement syndic building frais fevrier 7810,LOGEMENT
mall achat,achat clothes centre ville,SHOPPING
parfumerie,paiement haircut men lac,SHOPPING
medecin,paiement consultation medicale manar 7247,SANTE
تعليم,paiement training frais avril,EDUCATION
metro,transport ville ariana carte,TRANSPORT
Immo Service,residence frais janvier,LOGEMENT
OOREDOO,paiement facture fiber 4535,FACTURES
prime,paiement prime de performance fevrier,SALAIRE
online academy,paiement cours avril 574 visa,EDUCATION
bonus entreprise,paiement versement employeur mai,SALAIRE
isp tunis,recharge internet juin,FACTURES
Salary,paiement virement salaire mars,SALAIRE
coiffeur homme,coupe cheveux ariana,SHOPPING
bershka,achat vetements tunis,SHOPPING
طبيب,medical appointment sfax,SANTE
MEDECIN,achat medicaments 1236,SANTE
savings transfer,virement epargne avril 5204,EPARGNE
unknown merchant,paiement divers 2026 482,AUTRE
Misc,paiement divers tunis 8110,AUTRE
divers,operation non connue tunis mastercard,AUTRE
laboratoire,bilan medical tunis,SANTE
epargne,paiement mensuel epargne,EPARGNE
landlord,paiement loyer appartement mai 3788,LOGEMENT
ادخار,paiement mensuel epargne juin 9139 mastercard,EPARGNE
خدمة,service inconnu,AUTRE
Investment Saving,virement epargne 5126,EPARGNE
hanout,achat produits alimentaires gabes mastercard,ALIMENTATION
shawarma time,paiement repas diner,RESTAURANT
salary transfer,paie mensuelle mars,SALAIRE
zara,achat clothes centre ville,SHOPPING
planepargne,virement to epargne,EPARGNE
loyer,location paiement juin,LOGEMENT
rapid transport,trajet travail tunis,TRANSPORT
disney plus,paiement cinema ticket famille,LOISIRS
hm,soin capillaire 9712,SHOPPING
راتب,virement salaire fevrier,SALAIRE
yum yum,paiement makloub chawarma lac,RESTAURANT
aziza,achat produits alimentaires ariana,ALIMENTATION
Monthly Payroll,paiement virement salaire mai,SALAIRE
barber shop,achat vetements lac,SHOPPING
decathlon,paiement achat vetements tunis 9899,SHOPPING
louage,trajet paiement sousse,TRANSPORT
coffee shop,paiement makloub chawarma ariana visa,RESTAURANT
magasin general,nourriture groceries,ALIMENTATION
وكالة عقارية,paiement charges immeuble mars,LOGEMENT
internet provider,paiement facture fiber 509,FACTURES
hr payment,versement employeur 2026,SALAIRE
PULL AND BEAR,coupe cheveux centre ville,SHOPPING
grill house,paiement makloub chawarma,RESTAURANT
online shop,achat clothes tunis 1295,SHOPPING
steg,paiement facture d'electricite,FACTURES
chapati house,achat repas centre ville visa,RESTAURANT
hospital,analyses ariana,SANTE
investmentsaving,paiement investment epargne fevrier,EPARGNE
Cinema,abonnement netflix mensuel,LOISIRS
وكالة عقارية,charges immeuble janvier 4984,LOGEMENT
SAVINGS TRANSFER,virement to epargne avril,EPARGNE
amazon,buying accessories lac,SHOPPING
kfc,fast nourriture commande lac,RESTAURANT
MALL ACHAT,paiement fashion achat,SHOPPING
sntri,paiement trajet downtown tunis,TRANSPORT
sntri,paiement ticket louage sfax 4039,TRANSPORT
Compte Epargne,epargne mensuelle juin,EPARGNE
investment saving,epargne contribution fevrier,EPARGNE
مكتبة,formation data science semestre 2,EDUCATION
esprit,training frais 2026 9378,EDUCATION
immo service,paiement loyer mars virement,LOGEMENT
fruits shop,paiement mouneh maison virement,ALIMENTATION
autre transaction,paiement inconnu ref778 carte,AUTRE
hamma hajem,achat sport tunis,SHOPPING
xyz123,paiement inconnu tunis,AUTRE
wallet reserve,epargne mensuelle janvier,EPARGNE
xyz123,non classe paiement ref001,AUTRE
bus,paiement bus pass sfax,TRANSPORT
hospital,medical appointment lac,SANTE
residence ennasr,location paiement mai 2510,LOGEMENT
coiffeur homme,paiement personal care achat marsa,SHOPPING
اتصالات تونس,paiement facture,FACTURES
clinique,paiement achat medicaments sfax 5509,SANTE
coiffeur homme,haircut men centre ville,SHOPPING
monthly payroll,virement salaire mars 4468,SALAIRE
hanout,paiement achat cuisine sousse 9173,ALIMENTATION
campusservice,university paiement avril,EDUCATION
ooredoo,facture internet maison,FACTURES
medecin,analyses lac mastercard,SANTE
internet provider,paiement utility paiement tunis,FACTURES
rapid transport,paiement transport,TRANSPORT
coiffeur homme,achat vetements lac 4189,SHOPPING
جامعة,en ligne course semestre 1 4394,EDUCATION
disney plus,gaming achat avril,LOISIRS
fresh market,paiement achat fruits legumes gabes 5719 carte bancaire,ALIMENTATION
dentiste,analyse sanguine sousse 59,SANTE
metro,ticket metro sfax 6873,TRANSPORT
Wifi Bill,facture internet 5421,FACTURES
جامعة,paiement school tuition 2026,EDUCATION
ترفيه,film weekend mensuel 9022,LOISIRS
وكالة عقارية,paiement maison loyer paiement juin,LOGEMENT
restaurant el bey,paiement fast nourriture commande la marsa,RESTAURANT
transport public,bus pass tunis 9691,TRANSPORT
station metro,trajet tunis bizerte 9486 visa,TRANSPORT
gare routiere,paiement uber trajet ariana 8059,TRANSPORT
xbox,streaming service mars,LOISIRS
تكسي,ticket louage bizerte 5968,TRANSPORT
random pay,transaction non classee,AUTRE
compte epargne,paiement epargne contribution juin carte bancaire,EPARGNE
restaurant el bey,repas diner manar,RESTAURANT
formation center,en ligne course semestre 1 7258,EDUCATION
مواصلات,trajet tunis ariana 4977,TRANSPORT
عملية,transaction non classee ref001,AUTRE
فاتورة,facture internet tunis,FACTURES
yum yum,makloub chawarma tunis,RESTAURANT
aziza,epicerie quotidienne bizerte,ALIMENTATION
divers,service inconnu 2389 virement,AUTRE
bershka,soin capillaire marsa carte bancaire,SHOPPING
grill house,diner weekend sousse,RESTAURANT
راتب,virement salaire juin,SALAIRE
misc,transaction non classee tunis 1128,AUTRE
Cabinet Medical,paiement achat medicaments manar,SANTE
ooredoo,recharge internet mai,FACTURES
steg,paiement facture mai 8970,FACTURES
Epicerie El Amen,courses maison nabeul,ALIMENTATION
عطار,paiement nourriture groceries gabes,ALIMENTATION
Souk,nourriture groceries lac,ALIMENTATION
plan epargne,paiement mensuel epargne avril virement,EPARGNE
steg,telecom facture avril 4308,FACTURES
دكان,mouneh maison nabeul,ALIMENTATION
bus,trajet paiement tunis,TRANSPORT
livret,paiement virement epargne fevrier,EPARGNE
cabinet medical,visite medicale manar carte,SANTE
sport club fun,paiement jeu video mensuel,LOISIRS
TRANSPORT PUBLIC,paiement uber trajet bizerte,TRANSPORT
makloubcenter,restaurant paiement tunis,RESTAURANT
home rent,syndic building frais,LOGEMENT
uber,transport ville ariana,TRANSPORT
MAKLOUB CENTER,paiement coffee break centre ville,RESTAURANT
DECATHLON,achat vetements lac,SHOPPING
medecin,achat medicament lac,SANTE
SHOPPING CENTER,soin capillaire tunis,SHOPPING
Clinique,doctor visit sousse,SANTE
taxi,uber trajet sfax,TRANSPORT
طبيب,paiement soins medicaux tunis,SANTE
bus,paiement trajet downtown sousse,TRANSPORT
مكتبة,paiement training frais,EDUCATION
salaire,versement employeur janvier mastercard,SALAIRE
راتب,paiement company payroll 3402,SALAIRE
LIBRAIRIE,training frais avril,EDUCATION
سوق,paniers cuisine ariana,ALIMENTATION
servicetaxi,transport a tunis sousse,TRANSPORT
ooredoo,paiement facture d'electricite tunis mastercard,FACTURES
حجام,coupe cheveux lac 8124,SHOPPING
taxi tunis,transport a tunis sfax,TRANSPORT
disney plus,paiement film weekend mensuel 9079,LOISIRS
عيادة,ordonnance medicaments sousse virement,SANTE
company payroll,virement salaire avril 872,SALAIRE
universite,course abonnement,EDUCATION
Burger King,pizza commande tunis,RESTAURANT
universite,paiement school tuition mars visa,EDUCATION
Bolt,trajet travail sfax,TRANSPORT
placement,investment epargne mai,EPARGNE
GEANT,paiement courses nabeul 8087,ALIMENTATION
salary,revenu mensuel juin carte,SALAIRE
خدمة,inconnu operation ref778,AUTRE
paie,virement salaire 2026,SALAIRE
salary transfer,virement salaire fevrier,SALAIRE
chapati house,cafe avec amis lac,RESTAURANT
Pizza Hut,diner famille lac,RESTAURANT
cinema,gaming achat weekend 8127,LOISIRS
RESTAURANT LA MARSA,paiement lunch meal centre ville,RESTAURANT
sntri,paiement ticket louage marsa,TRANSPORT
IMMO SERVICE,paiement loyer appartement fevrier,LOGEMENT
حجام,paiement achat clothes marsa 658,SHOPPING
savings transfer,epargne mensuelle virement,EPARGNE
online academy,paiement education paiement avril 7395,EDUCATION
steg,recharge internet 4g mastercard,FACTURES
clinique el amen,paiement bilan de sante ariana,SANTE
investment saving,epargne contribution,EPARGNE
mobileoperator,paiement facture juin 8369,FACTURES
مختبر,doctor visit tunis 7479,SANTE
laboratoire,pharmacy achat sfax,SANTE
pharmacie,bilan de sante manar 4524,SANTE
اتصالات تونس,paiement wifi abonnement 4g 8166,FACTURES
TRANSPORT PUBLIC,station travel sousse,TRANSPORT
spotify,paiement abonnement plateforme,LOISIRS
دكان,mouneh maison manouba,ALIMENTATION
planepargne,epargne mensuelle mai 4454,EPARGNE
loyer,charges immeuble septembre,LOGEMENT
coursera,paiement university paiement mars,EDUCATION
CARREFOUR,courses maison,ALIMENTATION
yum yum,paiement snack paiement lac,RESTAURANT
WATER SERVICE,paiement facture maison,FACTURES
investment saving,paiement epargne contribution mai,EPARGNE
dentiste,ordonnance medicaments ariana en ligne,SANTE
foody,cafe avec amis manar,RESTAURANT
صيدلية,pharmacy achat 7657,SANTE
taxi tunis,paiement trajet travail 230,TRANSPORT
shopping center,haircut men,SHOPPING
chapati house,achat repas ariana 2459,RESTAURANT
fresh market,paiement courses maison gabes,ALIMENTATION
pull and bear,mall achat en ligne,SHOPPING
sntri,transport ville 5557,TRANSPORT
cabinet medical,medical appointment manar,SANTE
epargne,paiement epargne mensuelle avril,EPARGNE
rent apartment,apartment location septembre 9423,LOGEMENT
Monoprix,grocery achat ariana,ALIMENTATION
Investment Saving,epargne contribution mars 6403,EPARGNE
pull and bear,paiement soin capillaire tunis 2890 virement,SHOPPING
epargne,investment epargne juin,EPARGNE
كراء,charges immeuble mai,LOGEMENT
hm,mall achat en ligne,SHOPPING
dentiste,soins medicaux manar,SANTE
investment saving,placement personnel,EPARGNE
decathlon,paiement achat vetements centre ville 8792,SHOPPING
Burger King,restaurant paiement centre ville,RESTAURANT
coffee shop,paiement cafe sousse,RESTAURANT
سنديك,paiement syndic building frais janvier visa,LOGEMENT
hospital,soins medicaux sfax virement,SANTE
TAXI,transport a tunis sousse 8193,TRANSPORT
playstation,paiement film weekend premium 5726,LOISIRS
Bolt,transport ville sfax,TRANSPORT
Savings Transfer,paiement epargne versement janvier,EPARGNE
online shop,paiement hjema en ligne,SHOPPING
xbox,music abonnement avril 3352,LOISIRS
RADIOLOGIE,doctor visit ariana,SANTE
مطعم المزة,paiement carte restaurant 1683 en ligne,RESTAURANT
landlord,charges immeuble septembre 6348,LOGEMENT
اتصالات تونس,paiement facture mobile 4g,FACTURES
ONLINE ACADEMY,university paiement visa,EDUCATION
COMPTE EPARGNE,virement epargne janvier,EPARGNE
COIFFEUR HOMME,personal care achat ariana 4334,SHOPPING
hamma hajem,en ligne achat mastercard,SHOPPING
rent apartment,apartment location mars 1138,LOGEMENT
عطار,nourriture groceries bizerte en ligne,ALIMENTATION
خدمة,paiement operation non connue 2026,AUTRE
wallet reserve,paiement mensuel epargne avril mastercard,EPARGNE
bolt,paiement station travel sousse,TRANSPORT
مطعمالمزة,paiement diner weekend centre ville,RESTAURANT
gamingstore,paiement music abonnement mars,LOISIRS
grill house,diner weekend centre ville 5533,RESTAURANT
savingstransfer,paiement virement epargne avril,EPARGNE
عملية,divers 7428,AUTRE
unknownservice,divers service tunis visa,AUTRE
Pull And Bear,buying accessories en ligne,SHOPPING
Immo Service,paiement loyer avril en ligne,LOGEMENT
investment saving,paiement placement personnel juin 4290,EPARGNE
random pay,operation non connue tunis,AUTRE
سنديك,location paiement juillet 9299,LOGEMENT
loyer,residence frais septembre 8668,LOGEMENT
random pay,non classe paiement en ligne,AUTRE
School Fees,frais inscription semestre 2,EDUCATION
